City Name,State, Population, Area, Latitude, Longitude
Sitka,Alaska,8881,2870.3,57°03′12″N,135°20′05″W
Juneau,Alaska,31275,2701.9,58.30°N,134.416°W
Wrangell,Alaska,2369,2541.5,56°23′06″N,132°05′11″W
Anchorage,Alaska,291826,1704.7,61°13′N,149°54′W
Jacksonville,Florida,821784,747,30°20′13″N,81°39′41″W
Anaconda,Montana,9298,736.5,46°8′N,112°56′W
Butte,Montana,33525,716.2,45°59′56″N,112°31′27″W
Oklahoma City,Oklahoma,579999,606.4,35°28′7″N,97°31′17″W
Houston,Texas,2099451,599.6,29°45′46″N,95°22′59″W
Phoenix,Arizona,1445632,516.7,33°27′N,112°04′W
Nashville,Tennessee,601222,475.1,36°09′44″N,86°46′28″W
Los Angeles,California,3792621,468.7,34°03′N,118°15′W
San Antonio,Texas,1327407,460.9,29°25′30″N,98°29′38″W
Suffolk,Virginia,84585,400.2,36°44′28″N,76°36′35″W
Buckeye,Arizona,50876,375.3,33°22′14″N,112°35′27″W
Indianapolis,Indiana,820445,361.4,39°46′07″N,86°09′29″W
Chesapeake ,Virginia,222209,340.8,36°42′51″N,76°14′18″W
Dallas,Texas,1197816,340.5,32°46′45″N,96°48′32″W
Fort Worth,Texas,741206,339.8,32°45′N,97°20′W
Louisville,Kentucky,597337,325.2,38°15′22″N,85°45′05″W
San Diego,California,1307402,325.2,32°42′54″N,117°09′45″W
Memphis,Tennessee,646889,315.1,35°07′03″N,89°58′16″W
Kansas City,Missouri,459787,315,39°05′59″N,94°34′42″W
New York City,New York,8175133,302.6,40.712740°N,74.005974°W
Augusta,Georgia,195844,302.5,33°28′N,81°58′W
Austin,Texas,790390,297.9,30°16′2″N,97°44′35″W
Charlotte,North Carolina,731424,297.7,35°13′38″N,80°50′35″W
Lexington,Kentucky,295803,283.6,38°01′47″N,84°29′41″W
El Paso,Texas,649121,255.2,31°45′33″N,106°29′19″W
Virginia Beach,Virginia,437994,249,36°51′00″N,75°58′40″W
Cusseta,Georgia,11267,248.7,32°18′20″N,84°46′37″W
Chicago,Illinois,2695598,227.6,41°52′55″N,87°37′40″W
Tucson,Arizona,520116,226.7,32°13′18″N,110°55′35″W
Columbus,Ohio,787033,217.2,39°57′44″N,83°00′02″W
Columbus,Georgia,189885,216.4,32°29′32″N,84°56′25″W
Valdez,Alaska,3976,216.2,61°7′51″N,146°20′54″W
