City Name,State,Population,Area,Latitude,Longitude
Sitka,Alaska,8881,2870.3,57°03′12″N,135°20′05″W
Juneau,Alaska,31275,2701.9,58.30°N,134.416°W
Wrangell,Alaska,2369,2541.5,56°23′06″N,132°05′11″W
Anchorage,Alaska,291826,1704.7,61°13′N,149°54′W
Jacksonville,Florida,821784,747,30°20′13″N,81°39′41″W
Anaconda,Montana,9298,736.5,46°8′N,112°56′W
Butte,Montana,33525,716.2,45°59′56″N,112°31′27″W
Oklahoma City,Oklahoma,579999,606.4,35°28′7″N,97°31′17″W
Houston,Texas,2099451,599.6,29°45′46″N,95°22′59″W
Phoenix,Arizona,1445632,516.7,33°27′N,112°04′W
